"AbsoluteTime","Phase","Step","Loop","Iteration","Change_count","Total_distance","Frequency","CPU_Usage","RSZ","SWAP","Cumul_pflts","Temperature","IO_Kbps"
1677434582361,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434583599,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,77000,0
1677434584838,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434586076,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434587314,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,76000,0
1677434588552,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434589790,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434591029,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434592266,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434593504,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,74000,0
1677434594742,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434595979,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434597219,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,78000,0
1677434598458,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434599697,*,*,*,*,*,*,*,93.8,1152.9m,0.4m,6055,76000,0
1677434600937,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434602175,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434603413,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434604651,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434605891,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434607130,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,73000,0
1677434608368,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
