AbsoluteTime,Phase,Step,Loop,Iteration,Frequency,CPU_Usage,RSZ,SWAP,Cumul_pflts,Temperature,Read_Kbps,Write_Kbps
1676837638911,*,*,*,*,897654,,,,,,,
1676837639095,*,*,*,*,1410945,,,,,,,
1676837639314,*,*,*,*,1155642,,,,,,,
1676837639392,*,*,*,*,*,33.3,2.3m,0:00:00,0,46000,101203.23,
1676837639508,*,*,*,*,1077094,,,,,,,
1676837639705,*,*,*,*,1230229,,,,,,,
1676837639899,*,*,*,*,2381537,,,,,,,
1676837640121,*,*,*,*,887414,,,,,,,
1676837640311,*,*,*,*,915342,,,,,,,
1676837640496,*,*,*,*,1504026,,,,,,,
1676837640706,*,*,*,*,1732172,,,,,,,
1676837640797,*,*,*,*,*,33.3,16.1m,0:00:00,0,62000,82354.06,
1676837640905,*,*,*,*,1546544,,,,,,,
1676837641102,*,*,*,*,2700560,,,,,,,
1676837641304,*,*,*,*,1808385,,,,,,,
1676837641511,*,*,*,*,916354,,,,,,,
1676837641701,*,*,*,*,1400705,,,,,,,
1676837641896,*,*,*,*,1923708,,,,,,,
1676837642106,*,*,*,*,1605902,,,,,,,
1676837642140,*,*,*,*,*,33.3,138.8m,0:00:00,0,53000,96484.08,
1676837642296,*,*,*,*,2583666,,,,,,,
1676837642496,*,*,*,*,2775029,,,,,,,
1676837642696,*,*,*,*,2359210,,,,,,,
1676837642896,*,*,*,*,2402709,,,,,,,
1676837643096,*,*,*,*,2833608,,,,,,,
1676837643296,*,*,*,*,2388883,,,,,,,
1676837643415,*,*,*,*,*,40.0,262.9m,0:00:00,0,55000,64138.66,
1676837643513,*,*,*,*,1519393,,,,,,,
1676837643700,*,*,*,*,2401147,,,,,,,
1676837643909,*,*,*,*,2178154,,,,,,,
1676837644101,*,*,*,*,1445380,,,,,,,
1676837644302,*,*,*,*,1505456,,,,,,,
1676837644499,*,*,*,*,1934431,,,,,,,
1676837644704,*,*,*,*,1036597,,,,,,,
1676837644736,*,*,*,*,*,46.7,357.7m,0:00:00,0,48000,52929.24,
1676837644904,*,*,*,*,1258988,,,,,,,
1676837645096,*,*,*,*,1796134,,,,,,,
1676837645302,*,*,*,*,2109492,,,,,,,
1676837645502,*,*,*,*,1396480,,,,,,,
1676837645696,*,*,*,*,2845069,,,,,,,
1676837645895,*,*,*,*,2868954,,,,,,,
1676837646073,*,*,*,*,*,93.8,450.1m,0:00:00,0,73000,0.00,
1676837646097,*,*,*,*,2841184,,,,,,,
1676837646299,*,*,*,*,2816980,,,,,,,
1676837646496,*,*,*,*,2846066,,,,,,,
1676837646695,*,*,*,*,2860678,,,,,,,
1676837646896,*,*,*,*,2830343,,,,,,,
1676837647096,*,*,*,*,2843631,,,,,,,
1676837647295,*,*,*,*,2854350,,,,,,,
1676837647344,*,*,*,*,*,100.0,490.6m,0:00:00,0,75000,0.00,
1676837647498,*,*,*,*,2830458,,,,,,,
1676837647696,*,*,*,*,2784993,,,,,,,
1676837647895,*,*,*,*,2816708,,,,,,,
1676837648095,*,*,*,*,2872507,,,,,,,
1676837648295,*,*,*,*,2870946,,,,,,,
1676837648496,*,*,*,*,2867537,,,,,,,
1676837648608,*,*,*,*,*,100.0,531.1m,0:00:00,0,76000,0.00,
1676837648696,*,*,*,*,2825053,,,,,,,
1676837648895,*,*,*,*,2790661,,,,,,,
1676837649096,*,*,*,*,2856804,,,,,,,
1676837649296,*,*,*,*,2871810,,,,,,,
1676837649495,*,*,*,*,2876684,,,,,,,
1676837649695,*,*,*,*,2870041,,,,,,,
1676837649877,*,*,*,*,*,93.3,571.8m,0:00:00,0,76000,21343.16,
1676837649899,*,*,*,*,2834085,,,,,,,
1676837650099,*,*,*,*,2791771,,,,,,,
