AbsoluteTime,Phase,Step,Loop,Iteration,Frequency,CPU_Usage,RSZ,SWAP,Cumul_pflts,Nb_pflts,Read_Kbps,Write_Kbps
1673575314634,*,*,*,*,2808365,,,,,,,
1673575314830,*,*,*,*,2857737,,,,,,,
1673575315031,*,*,*,*,2871611,,,,,,,
1673575315230,*,*,*,*,2877952,,,,,,,
1673575315430,*,*,*,*,2879726,,,,,,,
1673575315630,*,*,*,*,2875119,,,,,,,
1673575315674,*,*,*,*,*,100.0,1.1g,0,0,0,0.00,0.00
1673575315830,*,*,*,*,2848137,,,,,,,
1673575316030,*,*,*,*,2879034,,,,,,,
1673575316230,*,*,*,*,2873354,,,,,,,
1673575316430,*,*,*,*,2879088,,,,,,,
1673575316630,*,*,*,*,2880163,,,,,,,
1673575316830,*,*,*,*,2875213,,,,,,,
1673575317030,*,*,*,*,2804455,,,,,,,
1673575317230,*,*,*,*,2880552,,,,,,,
1673575317430,*,*,*,*,2873385,,,,,,,
1673575317630,*,*,*,*,2880146,,,,,,,
1673575317830,*,*,*,*,2879368,,,,,,,
1673575317936,*,*,*,*,*,100.0,1.1g,0,0,0,0.00,0.00
1673575318030,*,*,*,*,2824418,,,,,,,
1673575318230,*,*,*,*,2880155,,,,,,,
1673575318430,*,*,*,*,2879686,,,,,,,
1673575318630,*,*,*,*,2860910,,,,,,,
1673575318830,*,*,*,*,2879214,,,,,,,
1673575319030,*,*,*,*,2879239,,,,,,,
1673575319230,*,*,*,*,2772149,,,,,,,
1673575319430,*,*,*,*,2879261,,,,,,,
1673575319630,*,*,*,*,2879885,,,,,,,
1673575319830,*,*,*,*,2872871,,,,,,,
1673575320030,*,*,*,*,2876382,,,,,,,
1673575320198,*,*,*,*,*,100.0,1.1g,0,0,0,0.00,0.00
1673575320230,*,*,*,*,2845969,,,,,,,
1673575320430,*,*,*,*,2869192,,,,,,,
1673575320630,*,*,*,*,2880331,,,,,,,
1673575320830,*,*,*,*,2879175,,,,,,,
1673575321030,*,*,*,*,2872806,,,,,,,
1673575321230,*,*,*,*,2880080,,,,,,,
1673575321433,*,*,*,*,2815703,,,,,,,
1673575321630,*,*,*,*,2871994,,,,,,,
1673575321830,*,*,*,*,2880462,,,,,,,
