dataset,N,M,dim,k,partiel_chunks_iterations+final_chunk_iterations 
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150

-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.5,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
