chunk_id,it_id,reassign_count,sse
1,123,2,11650.097889
1,124,1,11650.097875
1,125,1,11650.097873
1,126,2,11650.097861
2,0,106204,16522.085547
2,1,11190,11817.732216
2,2,2301,11612.956092
2,3,1296,11605.451782
2,4,1273,11602.617179
2,5,1427,11599.314078
2,6,1862,11594.672953
2,7,2833,11586.437247
2,8,5867,11565.448229
2,9,15068,11474.254219
2,10,19512,10951.738067
2,11,4044,9995.031300
2,12,333,9883.478385
2,13,24,9882.538600
2,14,2,9882.533143
3,0,93930,15747.730135
3,1,9038,11735.988553
3,2,2121,11625.791436
3,3,998,11621.573407
3,4,632,11620.577726
3,5,471,11620.075556
3,6,359,11619.744823
3,7,303,11619.537354
3,8,250,11619.383515
3,9,226,11619.269174
3,10,205,11619.185221
3,11,179,11619.110686
3,12,145,11619.053952
3,13,114,11619.013103
3,14,97,11618.988136
3,15,97,11618.967786
3,16,102,11618.950095
3,17,87,11618.936232
3,18,109,11618.922081
3,19,96,11618.903410
3,20,62,11618.885828
3,21,61,11618.876408
3,22,52,11618.870071
3,23,57,11618.865360
3,24,61,11618.859495
3,25,51,11618.854015
3,26,38,11618.849701
3,27,29,11618.846041
3,28,39,11618.844064
3,29,30,11618.841790
3,30,22,11618.839438
3,31,33,11618.838047
3,32,30,11618.836206
3,33,38,11618.834016
3,34,41,11618.831185
3,35,35,11618.827710
3,36,40,11618.825272
3,37,34,11618.822755
3,38,23,11618.820812
3,39,20,11618.819731
3,40,22,11618.819027
3,41,30,11618.818085
3,42,29,11618.816146
3,43,20,11618.814268
3,44,19,11618.813326
3,45,15,11618.812696
3,46,13,11618.812248
3,47,15,11618.811850
3,48,12,11618.811361
3,49,19,11618.810894
3,50,22,11618.810175
3,51,21,11618.809129
3,52,16,11618.808449
3,53,18,11618.807758
3,54,9,11618.807215
3,55,6,11618.806985
3,56,3,11618.806900
3,57,7,11618.806840
3,58,8,11618.806737
3,59,3,11618.806624
3,60,2,11618.806589
3,61,1,11618.806573
3,62,3,11618.806567
3,63,5,11618.806537
3,64,4,11618.806502
3,65,6,11618.806476
3,66,6,11618.806342
3,67,9,11618.806237
3,68,8,11618.806091
3,69,7,11618.805949
3,70,9,11618.805791
3,71,6,11618.805610
3,72,8,11618.805483
3,73,6,11618.805384
3,74,7,11618.805324
3,75,3,11618.805221
3,76,2,11618.805171
3,77,2,11618.805156
3,78,1,11618.805143
4,0,123679,17589.565233
4,1,11368,11866.937086
4,2,1891,11646.546416
4,3,777,11642.543024
4,4,506,11641.625313
4,5,375,11641.124442
4,6,310,11640.834054
4,7,280,11640.638388
4,8,280,11640.461263
4,9,279,11640.270535
4,10,267,11640.092529
4,11,260,11639.927098
4,12,261,11639.780730
4,13,266,11639.637362
4,14,242,11639.475707
4,15,238,11639.333804
4,16,252,11639.202173
4,17,242,11639.060892
4,18,247,11638.917797
4,19,231,11638.784940
4,20,206,11638.651649
4,21,194,11638.537300
4,22,184,11638.450325
4,23,173,11638.374073
4,24,167,11638.302260
4,25,188,11638.240808
4,26,180,11638.174296
4,27,174,11638.099427
4,28,193,11638.026514
4,29,154,11637.956111
4,30,133,11637.909958
4,31,134,11637.867697
4,32,108,11637.830876
4,33,119,11637.802834
4,34,120,11637.770747
4,35,109,11637.740662
4,36,128,11637.711891
4,37,146,11637.678775
4,38,141,11637.628980
4,39,128,11637.585496
4,40,101,11637.552287
4,41,74,11637.529735
4,42,61,11637.517188
4,43,74,11637.506468
4,44,71,11637.493609
4,45,60,11637.482095
4,46,65,11637.471124
4,47,55,11637.461752
4,48,43,11637.455258
4,49,47,11637.450468
4,50,68,11637.444362
4,51,59,11637.434412
4,52,57,11637.423196
4,53,50,11637.415255
4,54,46,11637.410646
4,55,47,11637.406077
4,56,57,11637.400774
4,57,46,11637.393493
4,58,35,11637.387587
4,59,22,11637.385052
4,60,22,11637.383379
4,61,14,11637.382420
4,62,20,11637.381669
4,63,19,11637.380527
4,64,12,11637.379649
4,65,16,11637.379129
4,66,14,11637.378616
4,67,11,11637.378023
4,68,7,11637.377481
4,69,9,11637.377322
4,70,8,11637.377171
4,71,6,11637.376974
4,72,5,11637.376877
4,73,6,11637.376812
4,74,4,11637.376729
4,75,2,11637.376693
